precio,diferencia_minimo
26.9,1.3517587939698492
24.9,1.2418952618453865
24.9,1.18854415274463
24.9,1.18854415274463
24.9,1.1857142857142857
24.9,1.1857142857142857
26.9,1.2809523809523808
26.9,1.2779097387173395
26.9,1.2779097387173395
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
24.5,1.1638954869358669
26.9,1.3517587939698492
26.9,1.2809523809523808
26.9,1.2809523809523808
23.2,1.1021377672209025
28.5,1.3571428571428572
23.2,1.1047619047619048
25.5,1.2114014251781473
25.6,1.1662870159453305
24.4,1.1141552511415524
24.4,1.1141552511415524
24.4,1.1141552511415524
24.4,1.0844444444444443
28.5,1.2954545454545454
28.5,1.2666666666666666
28.5,1.2666666666666666
28.3,1.2863636363636364
24.4,1.1090909090909091
24.4,1.1090909090909091
24.4,1.0844444444444443
26.4,1.2394366197183098
26.4,1.2394366197183098
23.6,1.151219512195122
23.6,1.151219512195122
23.6,1.151219512195122
23.6,1.151219512195122
25.9,1.3015075376884422
26.6,1.3366834170854274
22.85,1.177835051546392
23.65,1.2190721649484537
24.6,1.2680412371134022
24.6,1.2680412371134022
24.6,1.2680412371134022
28.5,1.4393939393939394
24.65,1.1850961538461537
24.65,1.1627358490566038
24.65,1.1465116279069767
24.65,1.1465116279069767
24.65,1.1738095238095236
24.65,1.1738095238095236
24.65,1.1738095238095236
24.65,1.1738095238095236
24.65,1.1738095238095236
24.65,1.1738095238095236
21.8,1.0380952380952382
21.8,1.0380952380952382
21.8,1.0380952380952382
21.8,1.0380952380952382
22.42,1.0550588235294118
22.42,1.0550588235294118
22.42,1.0550588235294118
22.42,1.0550588235294118
22.42,1.0550588235294118
28.5,1.3571428571428572
28.5,1.3902439024390243
25.6,1.245742092457421
30.0,1.3888888888888888
30.0,1.3953488372093024
24.7,1.0739130434782609
24.7,1.0739130434782609
24.7,1.0977777777777777
22.04,1.0251162790697674
25.6,1.1130434782608696
25.6,1.1228070175438596
24.7,1.0739130434782609
24.7,1.0739130434782609
26.6,1.1565217391304348
26.6,1.1565217391304348
28.0,1.2195121951219512
28.0,1.2195121951219512
28.0,1.2173913043478262
28.0,1.2173913043478262
25.6,1.1130434782608696
28.0,1.1991434689507494
28.0,1.1991434689507494
28.0,1.1991434689507494
26.5,1.2045454545454546
23.9,1.0863636363636362
23.9,1.0669642857142858
23.9,1.0669642857142858
25.0,1.1363636363636365
25.5,1.175115207373272
25.5,1.275
24.8,1.1272727272727272
24.8,1.1272727272727272
24.8,1.1272727272727272
25.5,1.186046511627907
24.1,1.1476190476190478
24.1,1.1476190476190478
27.5,1.2910798122065728
26.0,1.220657276995305
26.0,1.220657276995305
26.0,1.220657276995305
24.0,1.1594202898550725
24.0,1.1594202898550725
24.0,1.1594202898550725
24.0,1.1594202898550725
24.4,1.178743961352657
24.4,1.178743961352657
29.0,1.380952380952381
29.0,1.380952380952381
29.0,1.5675675675675675
29.0,1.5675675675675675
29.0,1.5675675675675675
26.35,1.2313084112149535
26.35,1.2313084112149535
29.0,1.4146341463414633
29.0,1.4146341463414633
29.0,1.4146341463414633
28.2,1.3756097560975609
28.2,1.3756097560975609
28.2,1.3756097560975609
28.2,1.3270588235294116
28.2,1.3177570093457944
28.2,1.3177570093457944
26.4,1.233644859813084
27.5,1.2850467289719627
27.5,1.2941176470588236
27.5,1.2941176470588236
27.5,1.2941176470588236
27.5,1.2941176470588236
27.5,1.2941176470588236
27.5,1.2941176470588236
27.5,1.2941176470588236
27.75,1.3058823529411765
28.35,1.3341176470588236
27.75,1.3058823529411765
27.75,1.3058823529411765
29.5,1.3111111111111111
27.75,1.2333333333333334
27.75,1.2333333333333334
27.75,1.2333333333333334
27.75,1.2333333333333334
27.5,1.2222222222222223
27.75,1.2333333333333334
27.75,1.2333333333333334
27.75,1.15625
26.5,1.1041666666666667
26.5,1.1041666666666667
26.5,1.1041666666666667
26.5,1.1041666666666667
26.5,1.1041666666666667
26.5,1.2211981566820276
26.5,1.2211981566820276
26.5,1.0707070707070707
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
26.5,1.0816326530612246
27.5,1.1224489795918366
27.5,1.1458333333333333
29.9,1.2463526469362234
29.9,1.2463526469362234
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.2458333333333333
29.9,1.1455938697318007
29.9,1.3288888888888888
29.9,1.1544401544401544
29.9,1.1544401544401544
29.9,1.1544401544401544
29.9,1.1544401544401544
29.9,1.2008032128514057
29.9,1.196
32.0,1.2549019607843137
32.0,1.2549019607843137
32.0,1.285140562248996
32.0,1.1829944547134934
32.0,1.1829944547134934
32.0,1.1851851851851851
32.0,1.1851851851851851
32.0,1.1851851851851851
28.9,1.156
28.9,1.1555377848860455
28.9,1.1555377848860455
28.9,1.1555377848860455
28.9,1.1555377848860455
28.9,1.1555377848860455
28.9,1.1555377848860455
36.9,1.4754098360655736
36.9,1.4754098360655736
36.9,1.4754098360655736
42.9,1.5052631578947369
42.9,1.434782608695652
42.9,1.6823529411764706
42.9,1.6823529411764706
42.9,1.7153138744502197
38.9,1.3010033444816054
38.9,1.3892857142857142
38.9,1.3892857142857142
38.9,1.2966666666666666
38.9,1.556
37.9,1.3535714285714284
37.9,1.2633333333333332
37.9,1.3535714285714284
37.9,1.2675585284280937
37.9,1.1484848484848484
42.9,1.43
42.9,1.43
42.9,1.43
42.9,1.43
42.9,1.43
38.9,1.2966666666666666
38.9,1.2754098360655737
38.9,1.2966666666666666
42.9,1.434782608695652
42.9,1.434782608695652
42.9,1.434782608695652
42.9,1.4065573770491804
46.9,1.5377049180327869
46.9,1.5633333333333332
46.9,1.568561872909699
46.9,1.568561872909699
46.9,1.5581395348837208
46.9,1.5633333333333332
46.9,1.5633333333333332
46.9,1.5633333333333332
46.9,1.5633333333333332
44.5,1.4833333333333334
44.5,1.488294314381271
43.5,1.4548494983277593
43.5,1.4548494983277593
43.5,1.45
44.5,1.4833333333333334
44.5,1.4833333333333334
44.5,1.459016393442623
46.9,1.568561872909699
48.9,1.6032786885245902
48.9,1.63
48.9,1.63
57.0,1.9
49.9,1.559375
55.0,1.6417910447761195
55.0,1.8333333333333333
55.0,1.8333333333333333
55.0,1.8333333333333333
55.0,1.8333333333333333
51.0,1.5454545454545454
51.0,1.6721311475409837
51.0,1.7
51.0,1.7
51.0,1.7
50.0,1.5151515151515151
50.0,1.6666666666666667
50.0,1.1904761904761905
50.0,1.6666666666666667
55.0,1.7741935483870968
55.0,1.8333333333333333
55.0,1.8333333333333333
55.0,1.6666666666666667
55.0,1.6176470588235294
55.0,1.3095238095238095
55.0,1.8333333333333333
55.0,1.7741935483870968
55.0,1.3095238095238095
55.0,1.7741935483870968
55.0,1.1578947368421053
49.0,1.53125
49.0,1.53125
49.0,1.53125
51.0,1.0874200426439233
51.0,1.0851063829787233
51.0,1.096774193548387
51.0,1.096774193548387
51.0,1.1333333333333333
